494     , -575.879    , array([ 0.338291   ,  0.849315   ])
496     , -394.136    , array([ 0.23356    ,  2.15097    ])
498     , -394.133    , array([ 0.23356    ,  2.15312    ])
[0.23356023 2.1509713 ]
500     , -621.125    , array([ 0.338291   ,  0.770472   ])
502     , -394.873    , array([ 0.246032   ,  1.98879    ])
504     , -394.864    , array([ 0.246032   ,  1.99078    ])
[0.2460324  1.98878934]
506     , -855.025    , array([ 0.338291   ,  0.506166   ])
508     , -434.766    , array([ 0.343334   ,  1.37573    ])
510     , -434.603    , array([ 0.343334   ,  1.37711    ])
[0.34333362 1.37572913]
512     , -531.687    , array([ 0.338291   ,  0.946678   ])
514     , -393.853    , array([ 0.222532   ,  2.34838    ])
516     , -393.852    , array([ 0.222532   ,  2.35073    ])
[0.22253218 2.348384  ]
518     , -712.501    , array([ 0.338291   ,  0.647507   ])
520     , -399.767    , array([ 0.275751   ,  1.72369    ])
522     , -399.73     , array([ 0.275751   ,  1.72542    ])
[0.27575066 1.72369051]
524     , -1067.08    , array([ 0.338291   ,  0.344979   ])
526     , -601.018    , array([ 0.561723   ,  0.816298   ])
528     , -600.733    , array([ 0.561723   ,  0.817115   ])
[0.56172325 0.81629807]
530     , -676.592    , array([ 0.338291   ,  0.691517   ])
532     , -397.015    , array([ 0.26263    ,  1.81997    ])
534     , -396.992    , array([ 0.26263    ,  1.82179    ])
[0.26262974 1.81996713]
536     , -1239.12    , array([ 0.338291   ,  0.17247    ])
538     , -436.056    , array([ 0.917474   ,  0.16396    ])
540     , -436.087    , array([ 0.917474   ,  0.164124   ])
[0.91747369 0.16395956]
542     , -688.595    , array([ 0.338291   ,  0.676285   ])
544     , -397.784    , array([ 0.266882   ,  1.78709    ])
546     , -397.757    , array([ 0.266882   ,  1.78888    ])
[0.26688237 1.787089  ]
548     , -625.338    , array([ 0.338291   ,  0.76389    ])
550     , -394.977    , array([ 0.24721    ,  1.97493    ])
552     , -394.967    , array([ 0.24721    ,  1.9769     ])
[0.24720988 1.97492702]
554     , -844.083    , array([ 0.338291   ,  0.515667   ])
556     , -429.934    , array([ 0.336744   ,  1.40172    ])
558     , -429.784    , array([ 0.336744   ,  1.40312    ])
[0.33674391 1.40171898]
560     , -637.224    , array([ 0.338291   ,  0.7459     ])
562     , -395.312    , array([ 0.25054    ,  1.93673    ])
564     , -395.299    , array([ 0.25054    ,  1.93866    ])
[0.25053981 1.93672559]
566     , -1048.09    , array([ 0.338291   ,  0.0886913  ])
568     , -426.167    , array([ 0.836863   ,  0.0581778  ])
570     , -426.21     , array([ 0.836863   ,  0.058236   ])
[0.83686289 0.05817783]
572     , -712.676    , array([ 0.338291   ,  0.647303   ])
574     , -399.769    , array([ 0.275626   ,  1.72298    ])
576     , -399.732    , array([ 0.275626   ,  1.72471    ])
[0.2756256  1.72298486]
578     , -1169.19    , array([ 0.338291   ,  0.270656   ])
580     , -567.359    , array([ 0.767458   ,  0.479603   ])
582     , -567.291    , array([ 0.767458   ,  0.480083   ])
584     , -2064.56    , array([ 20.4308    ,  4.72862    ])
586     , -58.557     , array([ 2.30331    ,  1.03233    ])
588     , -58.5929    , array([ 2.30331    ,  1.03336    ])
[2.30331379 1.032326  ]
590     , -641.225    , array([ 0.338291   ,  0.740023   ])
592     , -395.436    , array([ 0.25155    ,  1.92388    ])
594     , -395.423    , array([ 0.25155    ,  1.9258     ])
[0.2515504  1.92387691]
596     , -980.176    , array([ 0.338291   ,  0.407228   ])
598     , -525.994    , array([ 0.445885   ,  1.06443    ])
600     , -525.687    , array([ 0.445885   ,  1.0655     ])
[0.44588514 1.06443418]
602     , -676.588    , array([ 0.338291   ,  0.691523   ])
604     , -397.015    , array([ 0.262633   ,  1.81999    ])
606     , -396.992    , array([ 0.262633   ,  1.82181    ])
[0.2626331  1.81998742]
608     , -837.179    , array([ 0.338291   ,  0.521751   ])
610     , -427.293    , array([ 0.333365   ,  1.41813    ])
612     , -427.152    , array([ 0.333365   ,  1.41955    ])
[0.3333647  1.41813379]
614     , -948.037    , array([ 0.338291   ,  0.071603   ])
616     , -420.328    , array([ 0.815626   ,  0.0446169  ])
618     , -420.365    , array([ 0.815626   ,  0.0446616  ])
[0.8156256  0.04461694]
620     , -817.028    , array([ 0.331447   ,  0.0521943  ])
622     , -414.097    , array([ 0.777302   ,  0.0309897  ])
624     , -414.128    , array([ 0.777302   ,  0.0310207  ])
[0.77730242 0.03098968]
626     , -516.052    , array([ 0.331447   ,  0.978683   ])
628     , -393.8      , array([ 0.212802   ,  2.39988    ])
630     , -393.799    , array([ 0.212802   ,  2.40228    ])
[0.21280238 2.3998753 ]
632     , -666.498    , array([ 0.331447   ,  0.700727   ])
634     , -396.134    , array([ 0.25049    ,  1.83059    ])
636     , -396.116    , array([ 0.25049    ,  1.83243    ])
[0.25048988 1.83059391]
638     , -1181.28    , array([ 0.331447   ,  0.117317   ])
640     , -438.544    , array([ 0.854064   ,  0.0852204  ])
642     , -438.594    , array([ 0.854064   ,  0.0853057  ])
[0.85406439 0.0852204 ]
644     , -1074.53    , array([ 0.331447   ,  0.3438     ])
646     , -604.056    , array([ 0.532249   ,  0.829015   ])
